date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:57:55	12209/12209	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/about/	C:/Meus%20Sites/site%20bonito/taotajima.jp/about/index.html	(from http://taotajima.jp/)
02:57:56	14581/14581	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/night-stroll/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/night-stroll/index.html	(from http://taotajima.jp/)
02:57:56	10641/10641	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/index.html	(from http://taotajima.jp/)
02:57:58	13829/13829	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/MN/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/MN/index.html	(from http://taotajima.jp/)
02:57:58	14125/14125	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/prism/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/prism/index.html	(from http://taotajima.jp/)
02:58:00	52116/52116	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2003%20Dec%202021%2011:42:22%20GMT	http://taotajima.jp/images/list/prism.jpg	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/list/prism.jpg	(from http://taotajima.jp/)
02:58:02	13857/13857	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/ATTESA/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/ATTESA/index.html	(from http://taotajima.jp/)
02:58:05	13725/13725	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/AJINOMOTO/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/AJINOMOTO/index.html	(from http://taotajima.jp/)
02:58:08	65387/65387	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2003%20Dec%202021%2011:42:25%20GMT	http://taotajima.jp/images/list/ATTESA.jpg	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/list/ATTESA.jpg	(from http://taotajima.jp/)
02:58:09	48513/48513	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2003%20Dec%202021%2011:42:26%20GMT	http://taotajima.jp/images/list/AJINOMOTO.jpg	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/list/AJINOMOTO.jpg	(from http://taotajima.jp/)
02:58:10	13862/13862	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/Magic/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/Magic/index.html	(from http://taotajima.jp/)
02:58:11	13998/13998	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/reiji-no-machi/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/reiji-no-machi/index.html	(from http://taotajima.jp/)
02:58:15	100862/100862	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2003%20Dec%202021%2011:42:24%20GMT	http://taotajima.jp/images/list/MN.jpg	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/list/MN.jpg	(from http://taotajima.jp/)
02:58:16	14007/14007	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/Sarazanmai/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/Sarazanmai/index.html	(from http://taotajima.jp/)
02:58:18	53148/53148	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2003%20Dec%202021%2011:42:22%20GMT	http://taotajima.jp/images/list/Sarazanmai.jpg	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/list/Sarazanmai.jpg	(from http://taotajima.jp/)
02:58:19	13905/13905	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/the-9d-project/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/the-9d-project/index.html	(from http://taotajima.jp/)
02:58:20	66692/66692	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2003%20Dec%202021%2011:42:24%20GMT	http://taotajima.jp/images/list/Magic.jpg	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/list/Magic.jpg	(from http://taotajima.jp/)
02:58:21	13854/13854	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/mtv-ultrahits/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/mtv-ultrahits/index.html	(from http://taotajima.jp/)
02:58:22	38774/38774	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2011%20Aug%202018%2009:22:46%20GMT	http://taotajima.jp/images/list/the-9d-project.jpg	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/list/the-9d-project.jpg	(from http://taotajima.jp/)
02:58:23	14044/14044	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Dec%202021%2011:46:51%20GMT	http://taotajima.jp/works/xperia-ear-duo/	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/xperia-ear-duo/index.html	(from http://taotajima.jp/)
02:58:26	35538/35538	---M-Z	200	added ('OK')	image/jpeg	date:Sat,%2011%20Aug%202018%2009:22:46%20GMT	http://taotajima.jp/images/list/xperia-ear-duo.jpg	C:/Meus%20Sites/site%20bonito/taotajima.jp/images/list/xperia-ear-duo.jpg	(from http://taotajima.jp/)
